,dG_mean,dG_stdev
75,1.258379992634058,3.2830784375550617
76,1.4754499935358762,3.411872395406306
77,1.467599996585399,3.3688263664744444
78,1.2312599961366504,3.4622110164980384
79,1.591679992718622,3.3117550592600904
80,1.5332999943364412,3.4476749777609994
81,1.3332199984099715,3.448502413860827
82,1.4270699892994017,3.3222596966189677
83,1.6805199893452227,3.3330431367568965
84,1.3998099927101284,3.437676767036766
85,1.4156199933364988,3.351972717990808
86,1.5841399917025119,3.5191255376978425
87,1.4504999944213777,3.432784852134889
88,1.1845199901387096,3.386731706650674
89,1.4494799938052894,3.4664412001841973
90,1.4335599957592786,3.433410693873504
91,1.5690999895110727,3.5466070335897433
92,1.4126399958077818,3.5136028987307206
93,1.4160299927052111,3.545652327603932
94,1.6793499943558126,3.3116771810982217
95,1.7514199885409325,3.391916935008817
96,1.6349099961090834,3.3042171896868657
97,1.5153699906244873,3.4586217902617076
98,1.5249699848201126,3.501152213540596
99,1.5124599952362479,3.3863144353451005
100,1.4086099941059946,3.4902696621747045
101,1.472119991088286,3.292167454917136
102,1.47245999192819,3.3978656037887798
103,1.545749987507239,3.3561791771357727
104,1.5298799906875937,3.3545579136329664
105,1.467209996620193,3.389427644680953
106,1.188809990959242,3.523904223808395
107,1.5021199867855757,3.514530974707175
108,1.5526599923446776,3.4331021496598386
109,1.3638599918074905,3.503683857272785
110,1.6578599998820573,3.328564302146097
111,1.5072099953498692,3.3166311238513844
112,1.3926099966745824,3.499607119339087
113,1.560670000243932,3.3608790164448314
114,1.3908399939425289,3.436910090306898
115,1.4432199914604424,3.313084683558982
116,1.5199799921829253,3.441100036698555
117,1.3532999909222125,3.4951267464534426
118,1.588349989613518,3.4152230703681483
119,1.4244599876888095,3.597982535723424
120,1.4898999934401362,3.3316130203276813
121,1.3871899891085924,3.536059681300837
122,1.5040699918083846,3.2801536767485913
123,1.3027999973837285,3.5176843305132683
124,1.3422499922439457,3.4578900884615926
125,1.5318199942093342,3.4190750995589867
126,1.5130199934821575,3.468883238258336
127,1.5288399927336722,3.490723663581235
128,1.4579199911300094,3.4963354412675884
129,1.3496999921631068,3.3840732867800103
130,1.4935099909696727,3.4069227507254847
131,1.37426999534294,3.2854633918898486
132,1.6722499916348605,3.496180757343839
133,1.5631399958971888,3.5798937221061964
134,1.4811599949039518,3.377846844634808
135,1.5963200022112578,3.28562672207004
136,1.4940399947930127,3.4153295224766853
137,1.488799989266321,3.3635676870367335
138,1.4309099922459572,3.594716003585748
139,1.3745899953041225,3.5216798704864853
140,1.3986799870412796,3.5093044186985822
141,1.3723499933071435,3.548296590289632
142,1.5143499887306242,3.2685032076153857
143,1.6492499901782722,3.2648540811499114
144,1.4936499939896166,3.3470972833022072
145,1.468599993305281,3.399108927406375
146,1.5340299965906887,3.459207359407827
147,1.3279599941689522,3.427101212991819
148,1.512839987181127,3.4139662583636476
149,-3.545300071578473,7.797116881172596
150,-3.499950066851452,7.651671292711579
151,-3.6780900768972935,7.831948667064265
152,-3.475510069217533,7.759984167907673
153,-5.927539998872206,3.8649470050176244
154,-6.0605400091446935,3.819079623548633
155,1.4626799919586628,3.453014603187645
156,1.5371099929697811,3.2473535655254193
157,1.1566599924881011,3.497653228985039
158,1.3914999949783087,3.4986559531520336
159,1.3692999950461089,3.545709576223517
160,1.4821499949023127,3.5546014663305296
161,1.567469990869984,3.3481162388446766
162,1.5816799926850944,3.3215589713419997
163,1.5266199901308863,3.5235277016936335
164,1.5672499936502426,3.376004238501604
165,1.4504299946855754,3.384288346754066
